# index, meta, _pos
3575,javax.print.attribute.AttributeSetUtilities$UnmodifiablePrintRequestAttributeSet,"array([ 5.265903  , -1.41083953])"
3576,javax.print.attribute.AttributeSetUtilities$UnmodifiablePrintServiceAttributeSet,"array([ 5.29207811, -1.30134179])"
3577,javax.print.attribute.DateTimeSyntax,"array([ 4.28390663, -1.90941638])"
3578,javax.print.attribute.DocAttribute,"array([ 4.07026865, -1.81685612])"
3579,javax.print.attribute.EnumSyntax,"array([ 4.5675484 , -1.70822761])"
3580,javax.print.attribute.HashAttributeSet,"array([ 5.17235195, -1.53321512])"
3581,javax.print.attribute.HashDocAttributeSet,"array([ 4.99058049, -1.40770825])"
3582,javax.print.attribute.HashPrintJobAttributeSet,"array([ 5.11737705, -1.44190641])"
3583,javax.print.attribute.PrintJobAttribute,"array([ 4.21577401, -2.2068048 ])"
3584,javax.print.attribute.HashPrintRequestAttributeSet,"array([ 5.04840424, -1.54088005])"
3585,javax.print.attribute.PrintRequestAttribute,"array([ 4.18266099, -2.05160659])"
3586,javax.print.attribute.HashPrintServiceAttributeSet,"array([ 5.08456695, -1.40617823])"
3587,javax.print.attribute.IntegerSyntax,"array([ 3.99017908, -2.83010626])"
3588,javax.print.attribute.ResolutionSyntax,"array([ 4.94563365, -1.65772161])"
3589,javax.print.attribute.SetOfIntegerSyntax,"array([ 3.84866439, -2.78332238])"
3590,javax.print.attribute.Size2DSyntax,"array([ 5.56906701, -1.88233679])"
3591,javax.print.attribute.SupportedValuesAttribute,"array([ 3.13790035, -3.2633327 ])"
3592,javax.print.attribute.TextSyntax,"array([ 5.14241062, -1.82276715])"
3593,javax.print.attribute.URISyntax,"array([ 4.08981023, -2.72561743])"
3594,javax.print.attribute.UnmodifiableSetException,"array([ 6.08071589, -3.4623468 ])"
3595,javax.print.attribute.standard.Chromaticity,"array([ 4.31352965, -1.83851467])"
3596,javax.print.attribute.standard.ColorSupported,"array([ 4.10874944, -1.90027635])"
3597,javax.print.attribute.standard.Compression,"array([ 4.53606496, -2.7418804 ])"
3598,javax.print.attribute.standard.Copies,"array([ 3.88603443, -2.96842789])"
3599,javax.print.attribute.standard.CopiesSupported,"array([ 3.59694476, -3.0197872 ])"
3600,javax.print.attribute.standard.DateTimeAtCompleted,"array([ 4.0498321 , -3.12367412])"
3601,javax.print.attribute.standard.DateTimeAtCreation,"array([ 4.32375826, -1.65797468])"
3602,javax.print.attribute.standard.DateTimeAtProcessing,"array([ 4.33123483, -1.88918526])"
3603,javax.print.attribute.standard.Destination,"array([ 3.94147186, -3.04862517])"
3604,javax.print.attribute.standard.DocumentName,"array([ 4.68517359, -1.99710083])"
3605,javax.print.attribute.standard.Fidelity,"array([ 4.58223723, -1.57871149])"
3606,javax.print.attribute.standard.Finishings,"array([ 4.67287974, -1.53571021])"
3607,javax.print.attribute.standard.JobHoldUntil,"array([ 4.05335245, -2.36108071])"
3608,javax.print.attribute.standard.JobImpressions,"array([ 3.88134736, -2.18971007])"
3609,javax.print.attribute.standard.JobImpressionsCompleted,"array([ 3.7127923, -2.1397346])"
3610,javax.print.attribute.standard.JobImpressionsSupported,"array([ 3.57656242, -3.18134047])"
3611,javax.print.attribute.standard.JobKOctets,"array([ 3.96998728, -3.21029956])"
3612,javax.print.attribute.standard.JobKOctetsProcessed,"array([ 3.94637164, -2.44665123])"
3613,javax.print.attribute.standard.JobKOctetsSupported,"array([ 3.75323351, -3.55453997])"
3614,javax.print.attribute.standard.JobMediaSheets,"array([ 3.99952156, -2.34982822])"
3615,javax.print.attribute.standard.JobMediaSheetsCompleted,"array([ 3.76626404, -3.29974316])"
3616,javax.print.attribute.standard.JobMediaSheetsSupported,"array([ 3.61622147, -3.14186214])"
3617,javax.print.attribute.standard.JobMessageFromOperator,"array([ 5.10965047, -1.92222855])"
3618,javax.print.attribute.standard.JobName,"array([ 4.88426199, -1.85283458])"
3619,javax.print.attribute.standard.JobOriginatingUserName,"array([ 5.07207134, -1.68885748])"
3620,javax.print.attribute.standard.JobPriority,"array([ 3.89713704, -3.11551997])"
3621,javax.print.attribute.standard.JobPrioritySupported,"array([ 3.66765827, -3.25548734])"
3622,javax.print.attribute.standard.JobSheets,"array([ 4.22123593, -2.12207131])"
3623,javax.print.attribute.standard.JobState,"array([ 3.98765817, -2.09588198])"
3624,javax.print.attribute.standard.JobStateReason,"array([ 5.22783992, -1.44312697])"
3625,javax.print.attribute.standard.JobStateReasons,"array([ 4.72619743, -1.79536618])"
3626,javax.print.attribute.standard.Media,"array([ 4.82159193, -1.75638154])"
3627,javax.print.attribute.standard.MediaName,"array([ 4.88913531, -1.4359238 ])"
3628,javax.print.attribute.standard.MediaPrintableArea,"array([ 4.68594082, -1.7650359 ])"
3629,javax.print.attribute.standard.MediaSize,"array([ 6.56436852, -3.25521719])"
3630,javax.print.attribute.standard.MediaSizeName,"array([ 6.32672155, -3.059586  ])"
3631,javax.print.attribute.standard.MediaSize$Engineering,"array([ 6.93300007, -3.4620439 ])"
3632,javax.print.attribute.standard.MediaSize$ISO,"array([ 6.83958204, -3.43993937])"
3633,javax.print.attribute.standard.MediaSize$JIS,"array([ 6.72510704, -3.46124362])"
3634,javax.print.attribute.standard.MediaSize$NA,"array([ 6.73336117, -3.58815713])"
3635,javax.print.attribute.standard.MediaSize$Other,"array([ 6.87291651, -3.49058422])"
3636,javax.print.attribute.standard.MediaTray,"array([ 4.75747281, -1.61550368])"
3637,javax.print.attribute.standard.MultipleDocumentHandling,"array([ 4.49353764, -1.59014867])"
3638,javax.print.attribute.standard.NumberOfDocuments,"array([ 3.71410981, -3.20644877])"
3639,javax.print.attribute.standard.NumberOfInterveningJobs,"array([ 3.78210318, -2.95700743])"
3640,javax.print.attribute.standard.NumberUp,"array([ 3.89792449, -2.79219271])"
3641,javax.print.attribute.standard.NumberUpSupported,"array([ 3.9359167 , -3.64342716])"
3642,javax.print.attribute.standard.OrientationRequested,"array([ 4.2664086 , -2.35063715])"
3643,javax.print.attribute.standard.OutputDeviceAssigned,"array([ 5.17802822, -1.84246122])"
3644,javax.print.attribute.standard.PDLOverrideSupported,"array([ 4.60231056, -1.5136801 ])"
3645,javax.print.attribute.standard.PageRanges,"array([ 4.10674276, -2.50914377])"
3646,javax.print.attribute.standard.PagesPerMinute,"array([ 5.88600891, -3.11084751])"
3647,javax.print.attribute.standard.PagesPerMinuteColor,"array([ 3.9319384 , -3.29856908])"
3648,javax.print.attribute.standard.PresentationDirection,"array([ 4.72540224, -1.53989219])"
3649,javax.print.attribute.standard.PrintQuality,"array([ 4.66060706, -1.59685694])"
3650,javax.print.attribute.standard.PrinterInfo,"array([ 5.05115157, -1.76962543])"
3651,javax.print.attribute.standard.PrinterIsAcceptingJobs,"array([ 5.3290595 , -1.35052597])"
3652,javax.print.attribute.standard.PrinterLocation,"array([ 5.38769853, -1.75178829])"
3653,javax.print.attribute.standard.PrinterMakeAndModel,"array([ 5.52932873, -1.70799166])"
3654,javax.print.attribute.standard.PrinterMessageFromOperator,"array([ 4.88749846, -1.9620061 ])"
3655,javax.print.attribute.standard.PrinterMoreInfo,"array([ 4.35163463, -3.67819818])"
3656,javax.print.attribute.standard.PrinterMoreInfoManufacturer,"array([ 3.99222917, -3.05713461])"
3657,javax.print.attribute.standard.PrinterName,"array([ 6.05424749, -2.94623018])"
3658,javax.print.attribute.standard.PrinterResolution,"array([ 4.56038305, -1.76236559])"
3659,javax.print.attribute.standard.PrinterState,"array([ 4.77225806, -1.56277162])"
3660,javax.print.attribute.standard.PrinterStateReason,"array([ 4.38332289, -1.76593723])"
3661,javax.print.attribute.standard.PrinterStateReasons,"array([ 4.74505402, -2.08728211])"
3662,javax.print.attribute.standard.Severity,"array([ 4.71770125, -1.49028406])"
3663,javax.print.attribute.standard.PrinterStateReasons$PrinterStateReasonSet,"array([ 4.39379254, -1.94397323])"
3664,javax.print.attribute.standard.PrinterStateReasons$PrinterStateReasonSetIterator,"array([ 4.22154807, -1.74049304])"
3665,javax.print.attribute.standard.PrinterURI,"array([ 4.45890543, -3.73562675])"
3666,javax.print.attribute.standard.QueuedJobCount,"array([ 3.97650724, -3.00305456])"
3667,javax.print.attribute.standard.ReferenceUriSchemesSupported,"array([ 5.17505449, -1.43879073])"
3668,javax.print.attribute.standard.RequestingUserName,"array([ 4.98094954, -1.85205226])"
3669,javax.print.attribute.standard.SheetCollate,"array([ 4.1796139 , -1.77054053])"
3670,javax.print.attribute.standard.Sides,"array([ 4.50036761, -1.6982455 ])"
3671,javax.print.event.PrintEvent,"array([ 5.71063573, -1.10983652])"
3672,javax.print.event.PrintJobAdapter,"array([ 5.60829523, -0.35275354])"
3673,javax.print.event.PrintJobEvent,"array([ 5.83383977, -0.24535594])"
3674,javax.print.event.PrintJobAttributeEvent,"array([ 5.83649239, -0.38082195])"
3675,javax.print.event.PrintServiceAttributeEvent,"array([ 5.62868953, -0.75576876])"
3676,javax.rmi.CORBA.ClassDesc,"array([ 3.50840781, -2.96242871])"
3677,javax.rmi.CORBA.GetORBPropertiesFileAction,"array([ 3.40994481, -2.67545413])"
3678,javax.rmi.CORBA.GetORBPropertiesFileAction$1,"array([ 4.18430694, -1.16527196])"
3679,javax.rmi.CORBA.PortableRemoteObjectDelegate,"array([ 4.04466684, -4.39683576])"
3680,javax.rmi.CORBA.StubDelegate,"array([ 3.48721439, -3.67502808])"
3681,javax.rmi.CORBA.Util,"array([ 4.93157488, -3.51555437])"
3682,javax.rmi.CORBA.ValueHandler,"array([ 5.38885403, -3.18701361])"
3683,javax.rmi.CORBA.UtilDelegate,"array([ 4.92967858, -3.63704504])"
3684,javax.rmi.CORBA.ValueHandlerMultiFormat,"array([ 5.24296485, -1.95289565])"
3685,javax.rmi.GetORBPropertiesFileAction,"array([ 5.21823593, -1.06743423])"
3686,javax.rmi.GetORBPropertiesFileAction$1,"array([ 4.0532891 , -1.55644436])"
3687,javax.rmi.PortableRemoteObject,"array([ 4.6585489, -3.7542379])"
3688,javax.rmi.ssl.SslRMIClientSocketFactory,"array([ 4.31444644, -3.86013806])"
3689,javax.rmi.ssl.SslRMIServerSocketFactory,"array([ 3.8569208 , -4.04242557])"
3690,javax.rmi.ssl.SslRMIServerSocketFactory$1,"array([ 3.57251065, -3.99478137])"
3691,javax.script.AbstractScriptEngine,"array([ 4.97764022, -2.65751882])"
3692,javax.script.ScriptEngine,"array([ 4.77141851, -2.63901801])"
3693,javax.script.Bindings,"array([ 4.62508846, -2.61548813])"
3694,javax.script.ScriptContext,"array([ 4.70791566, -3.10732715])"
3695,javax.script.ScriptEngineFactory,"array([ 4.9553477 , -2.97772297])"
3696,javax.script.Compilable,"array([ 2.85690835, -3.57957799])"
3697,javax.script.CompiledScript,"array([ 3.92565064, -2.87780648])"
3698,javax.script.Invocable,"array([ 5.03156769, -1.64102521])"
3699,javax.script.ScriptEngineManager,"array([ 4.72727546, -2.88347478])"
3700,javax.script.ScriptEngineManager$1,"array([ 3.39809597, -2.78166186])"
3701,javax.script.ScriptException,"array([ 5.85143205, -3.34535595])"
3702,javax.script.SimpleBindings,"array([ 4.7200622 , -2.45506893])"
3703,javax.script.SimpleScriptContext,"array([ 4.87485037, -2.99211358])"
3704,javax.security.auth.AuthPermission,"array([ 4.68804964, -3.43277925])"
3705,javax.security.auth.DestroyFailedException,"array([ 6.29836146, -3.60458958])"
3706,javax.security.auth.Policy,"array([ 3.58920349, -3.37527634])"
3707,javax.security.auth.Policy$1,"array([ 4.55623125, -1.40650794])"
3708,javax.security.auth.Policy$2,"array([ 4.04099401, -1.48972934])"
3709,javax.security.auth.Policy$3,"array([ 3.60295277, -2.09727454])"
3710,javax.security.auth.PrivateCredentialPermission,"array([ 4.76554793, -1.94011517])"
3711,javax.security.auth.PrivateCredentialPermission$CredOwner,"array([ 3.99072672, -2.62372553])"
3712,javax.security.auth.RefreshFailedException,"array([ 6.31740841, -3.70386948])"
3713,javax.security.auth.Subject$1,"array([ 4.76310921, -1.05747382])"
3714,javax.security.auth.Subject$2,"array([ 3.90803727, -2.59260276])"
3715,javax.security.auth.Subject$ClassSet,"array([ 4.27025389, -1.80349784])"
3716,javax.security.auth.Subject$ClassSet$1,"array([ 4.17588721, -1.3901758 ])"
3717,javax.security.auth.Subject$SecureSet,"array([ 4.50189782, -1.74470877])"
3718,javax.security.auth.Subject$SecureSet$1,"array([ 3.65504758, -2.88487362])"
3719,javax.security.auth.Subject$SecureSet$2,"array([ 3.60129302, -1.87869348])"
3720,javax.security.auth.Subject$SecureSet$3,"array([ 3.68577158, -2.64736371])"
3721,javax.security.auth.Subject$SecureSet$4,"array([ 3.74755256, -2.56559112])"
3722,javax.security.auth.Subject$SecureSet$5,"array([ 4.26361651, -1.19811649])"
3723,javax.security.auth.Subject$SecureSet$6,"array([ 3.82170715, -1.96944446])"
3724,javax.security.auth.SubjectDomainCombiner,"array([ 3.36120675, -2.98777303])"
3725,javax.security.auth.SubjectDomainCombiner$1,"array([ 3.8211531 , -2.26242209])"
3726,javax.security.auth.SubjectDomainCombiner$2,"array([ 3.81289835, -1.88457019])"
3727,javax.security.auth.SubjectDomainCombiner$3,"array([ 4.13061995, -1.55082994])"
3728,javax.security.auth.SubjectDomainCombiner$4,"array([ 3.56071608, -1.98058972])"
3729,javax.security.auth.SubjectDomainCombiner$5,"array([ 5.17210413, -1.23977662])"
3730,javax.security.auth.SubjectDomainCombiner$6,"array([ 4.25071404, -1.46491731])"
3731,javax.security.auth.SubjectDomainCombiner$WeakKeyValueMap,"array([ 4.89187538, -2.23365321])"
3732,javax.security.auth.callback.ChoiceCallback,"array([ 6.45781447, -3.30449343])"
3733,javax.security.auth.callback.Callback,"array([ 7.24615575, -4.03282089])"
3734,javax.security.auth.callback.ConfirmationCallback,"array([ 6.33213586, -3.19132059])"
3735,javax.security.auth.callback.LanguageCallback,"array([ 6.5096004 , -3.22910462])"
3736,javax.security.auth.callback.NameCallback,"array([ 6.06482992, -3.12528677])"
3737,javax.security.auth.callback.PasswordCallback,"array([ 6.30692996, -3.238678  ])"
3738,javax.security.auth.callback.TextInputCallback,"array([ 6.00402817, -3.2034637 ])"
3739,javax.security.auth.callback.TextOutputCallback,"array([ 6.21623487, -3.18245118])"
3740,javax.security.auth.callback.UnsupportedCallbackException,"array([ 6.4589915 , -3.84986111])"
3741,javax.security.auth.kerberos.DelegationPermission,"array([ 4.4146469 , -2.48048574])"
3742,javax.security.auth.kerberos.KerberosKey,"array([ 4.35984398, -3.79332854])"
3743,javax.security.auth.kerberos.KerberosPrincipal,"array([ 4.31957741, -3.37585612])"
3744,javax.security.auth.kerberos.KerberosTicket,"array([ 3.8555322 , -3.44611553])"
3745,javax.security.auth.Refreshable,"array([ 2.03220076, -4.65727195])"
3746,javax.security.auth.kerberos.KeyImpl,"array([ 4.50844432, -3.76972272])"
3747,javax.security.auth.kerberos.KrbDelegationPermissionCollection,"array([ 3.92941247, -2.68343284])"
3748,javax.security.auth.kerberos.KrbServicePermissionCollection,"array([ 3.8248211 , -3.31587303])"
3749,javax.security.auth.kerberos.ServicePermission,"array([ 4.37161536, -3.15177178])"
3750,javax.security.auth.login.AccountException,"array([ 6.28526616, -3.79105072])"
3751,javax.security.auth.login.LoginException,"array([ 5.89993169, -4.05296169])"
3752,javax.security.auth.login.AccountExpiredException,"array([ 6.31228973, -3.83174093])"
3753,javax.security.auth.login.AccountLockedException,"array([ 6.36375662, -3.3095727 ])"
3754,javax.security.auth.login.AccountNotFoundException,"array([ 5.51150765, -3.80699422])"
3755,javax.security.auth.login.AppConfigurationEntry,"array([ 4.82162449, -3.87789222])"
3756,javax.security.auth.login.AppConfigurationEntry$LoginModuleControlFlag,"array([ 4.68367264, -4.31555922])"
3757,javax.security.auth.login.Configuration,"array([ 5.12295872, -3.92773921])"
3758,javax.security.auth.login.Configuration$1,"array([ 3.83133505, -2.17341515])"
3759,javax.security.auth.login.Configuration$2,"array([ 3.95617824, -1.27930684])"
3760,javax.security.auth.login.Configuration$3,"array([ 4.07065184, -1.26036545])"
3761,javax.security.auth.login.Configuration$ConfigDelegate,"array([ 5.17798072, -4.02662848])"
3762,javax.security.auth.login.ConfigurationSpi,"array([ 4.03463053, -0.65639669])"
3763,javax.security.auth.login.CredentialException,"array([ 6.07933123, -3.60957423])"
3764,javax.security.auth.login.CredentialExpiredException,"array([ 6.29419191, -3.55099855])"
3765,javax.security.auth.login.CredentialNotFoundException,"array([ 6.23820635, -3.69076045])"
3766,javax.security.auth.login.FailedLoginException,"array([ 5.56886746, -3.98100059])"
3767,javax.security.auth.login.LoginContext,"array([ 4.6129565 , -3.71561607])"
3768,javax.security.auth.login.LoginContext$1,"array([ 4.99638329, -1.35124532])"
3769,javax.security.auth.login.LoginContext$2,"array([ 3.85740668, -1.68770502])"
3770,javax.security.auth.login.LoginContext$3,"array([ 5.11458421, -1.54495397])"
3771,javax.security.auth.login.LoginContext$4,"array([ 3.55779436, -2.55791118])"
3772,javax.security.auth.login.LoginContext$5,"array([ 3.85631497, -1.45836959])"
3773,javax.security.auth.login.LoginContext$ModuleInfo,"array([ 3.72648066, -1.01043654])"
3774,javax.security.auth.login.LoginContext$SecureCallbackHandler,"array([ 3.99623512, -3.95688077])"
3775,javax.security.auth.login.LoginContext$SecureCallbackHandler$1,"array([ 3.65229458, -2.52826303])"
3776,javax.security.auth.spi.LoginModule,"array([ 3.42587879, -4.52176502])"
3777,javax.security.auth.x500.X500PrivateCredential,"array([ 4.32558512, -3.92013974])"
3778,javax.security.cert.Certificate,"array([ 4.0915124 , -3.79329048])"
3779,javax.security.cert.CertificateEncodingException,"array([ 5.71815806, -3.90464862])"
3780,javax.security.cert.CertificateException,"array([ 5.97734789, -3.97364915])"
3781,javax.security.cert.CertificateExpiredException,"array([ 5.66327253, -3.98825702])"
3782,javax.security.cert.CertificateNotYetValidException,"array([ 6.04486558, -3.81491506])"
3783,javax.security.cert.CertificateParsingException,"array([ 6.29885842, -3.35909551])"
3784,javax.security.cert.X509Certificate,"array([ 4.29746746, -3.62517146])"
3785,javax.security.cert.X509Certificate$1,"array([ 4.30065194, -1.24293901])"
3786,javax.security.sasl.AuthenticationException,"array([ 5.96146345, -3.76975653])"
3787,javax.security.sasl.SaslException,"array([ 6.17039544, -3.49583177])"
3788,javax.security.sasl.AuthorizeCallback,"array([ 6.11060611, -3.15605165])"
3789,javax.security.sasl.RealmCallback,"array([ 5.22233744, -2.30841076])"
3790,javax.security.sasl.RealmChoiceCallback,"array([ 6.01267119, -4.31607188])"
3791,javax.security.sasl.Sasl,"array([ 4.85369208, -3.27313128])"
3792,javax.security.sasl.SaslClient,"array([ 4.58872321, -4.68413747])"
3793,javax.security.sasl.SaslServer,"array([ 4.452232  , -4.37149201])"
3794,javax.security.sasl.Sasl$1,"array([ 3.87905418, -3.16609893])"
3795,javax.security.sasl.SaslClientFactory,"array([ 4.17092946, -4.33778878])"
3796,javax.security.sasl.Sasl$2,"array([ 3.77300262, -3.0106258 ])"
3797,javax.security.sasl.SaslServerFactory,"array([ 4.12560467, -4.15786464])"
3798,javax.smartcardio.ATR,"array([ 3.50846577, -3.0781102 ])"
3799,javax.smartcardio.Card,"array([ 3.62845267, -3.21933532])"
3800,javax.smartcardio.CardChannel,"array([ 3.37054401, -2.86814568])"
3801,javax.smartcardio.ResponseAPDU,"array([ 3.4676008 , -1.94934398])"
3802,javax.smartcardio.CommandAPDU,"array([ 3.80174055, -2.08611033])"
3803,javax.smartcardio.CardException,"array([ 5.98654709, -3.4709219 ])"
3804,javax.smartcardio.CardNotPresentException,"array([ 6.20366876, -3.30015129])"
3805,javax.smartcardio.CardPermission,"array([ 4.50730202, -3.50642588])"
3806,javax.smartcardio.CardTerminal,"array([ 4.0977844 , -3.37665831])"
3807,javax.smartcardio.CardTerminals,"array([ 4.14323006, -3.58919157])"
3808,javax.smartcardio.CardTerminals$State,"array([ 4.55810301, -3.14316861])"
3809,javax.smartcardio.TerminalFactory,"array([ 4.76290478, -2.96625817])"
3810,javax.smartcardio.TerminalFactory$NoneCardTerminals,"array([ 3.97952441, -3.76514388])"
3811,javax.smartcardio.TerminalFactory$NoneFactorySpi,"array([ 5.59282183, -0.10564989])"
3812,javax.smartcardio.TerminalFactorySpi,"array([ 5.06003053, -0.42475348])"
3813,javax.smartcardio.TerminalFactory$NoneProvider,"array([ 5.02161653, -2.78877528])"
3814,javax.sound.midi.ControllerEventListener,"array([ 5.91275176, -5.53306845])"
3815,javax.sound.midi.ShortMessage,"array([ 5.04217659, -4.53747776])"
3816,javax.sound.midi.Instrument,"array([ 4.85625192, -4.22854108])"
3817,javax.sound.midi.SoundbankResource,"array([ 4.40610663, -3.6830017 ])"
3818,javax.sound.midi.Patch,"array([ 5.05783934, -4.40658582])"
3819,javax.sound.midi.Soundbank,"array([ 4.85708227, -4.64010348])"
3820,javax.sound.midi.InvalidMidiDataException,"array([ 5.46000592, -4.03057337])"
3821,javax.sound.midi.MetaEventListener,"array([ 5.80712693, -5.45736061])"
3822,javax.sound.midi.MetaMessage,"array([ 4.908769  , -4.48602041])"
3823,javax.sound.midi.MidiMessage,"array([ 4.08964157, -3.73385754])"
3824,javax.sound.midi.MidiDevice,"array([ 4.12906949, -5.0279334 ])"
3825,javax.sound.midi.MidiDevice$Info,"array([ 4.72166535, -3.96108923])"
3826,javax.sound.midi.Receiver,"array([ 3.81651348, -5.49418003])"
3827,javax.sound.midi.Transmitter,"array([ 4.01561667, -5.82453288])"
3828,javax.sound.midi.MidiEvent,"array([ 3.77703978, -3.8486176 ])"
3829,javax.sound.midi.MidiFileFormat,"array([ 4.37754238, -3.52261196])"
3830,javax.sound.midi.MidiSystem,"array([ 4.6508259 , -4.13663846])"
3831,javax.sound.midi.Sequence,"array([ 4.63122075, -4.34743455])"
3832,javax.sound.midi.Synthesizer,"array([ 4.47968902, -4.99345861])"
3833,javax.sound.midi.Sequencer,"array([ 4.74660606, -5.0227491 ])"
3834,javax.sound.midi.MidiUnavailableException,"array([ 5.60537393, -4.06782414])"
3835,javax.sound.midi.Track,"array([ 4.16076758, -4.27282139])"
3836,javax.sound.midi.Sequencer$SyncMode,"array([ 4.60388128, -4.53044397])"
3837,javax.sound.midi.SysexMessage,"array([ 3.30861219, -2.35678741])"
3838,javax.sound.midi.Track$1,"array([ 3.19518803, -2.47572689])"
3839,javax.sound.midi.Track$ImmutableEndOfTrack,"array([ 4.06399637, -4.15995123])"
3840,javax.sound.midi.VoiceStatus,"array([ 4.65111313, -0.37122564])"
3841,javax.sound.midi.spi.MidiDeviceProvider,"array([ 4.29900157, -4.18784172])"
3842,javax.sound.midi.spi.MidiFileReader,"array([ 4.54483831, -3.86012174])"
3843,javax.sound.midi.spi.MidiFileWriter,"array([ 4.42802393, -4.16195288])"
3844,javax.sound.midi.spi.SoundbankReader,"array([ 4.95438757, -4.23196762])"
3845,javax.sound.sampled.AudioFileFormat,"array([ 5.19636266, -3.93703683])"
3846,javax.sound.sampled.AudioFileFormat$Type,"array([ 5.24011956, -4.10942359])"
3847,javax.sound.sampled.AudioFormat,"array([ 5.56859504, -4.3824303 ])"
3848,javax.sound.sampled.AudioFormat$Encoding,"array([ 5.38226732, -4.33874659])"
3849,javax.sound.sampled.AudioInputStream,"array([ 5.42796415, -4.59800492])"
3850,javax.sound.sampled.TargetDataLine,"array([ 5.94121662, -5.38662865])"
3851,javax.sound.sampled.AudioInputStream$TargetDataLineInputStream,"array([ 5.5496343 , -4.66875292])"
3852,javax.sound.sampled.AudioPermission,"array([ 4.3276709 , -2.64152171])"
3853,javax.sound.sampled.AudioSystem,"array([ 5.51819027, -4.38837616])"
3854,javax.sound.sampled.Clip,"array([ 6.03281636, -5.46889656])"
3855,javax.sound.sampled.Mixer$Info,"array([ 5.35834145, -4.1357803 ])"
3856,javax.sound.sampled.Mixer,"array([ 6.16832357, -5.28802455])"
3857,javax.sound.sampled.Line$Info,"array([ 5.8519694 , -4.50302088])"
3858,javax.sound.sampled.Line,"array([ 6.42917096, -5.44645508])"
3859,javax.sound.sampled.SourceDataLine,"array([ 6.11710514, -5.4087039 ])"
3860,javax.sound.sampled.BooleanControl,"array([ 6.31103744, -4.37674206])"
3861,javax.sound.sampled.Control,"array([ 5.94514986, -4.63224116])"
3862,javax.sound.sampled.Control$Type,"array([ 6.01575629, -4.78229871])"
3863,javax.sound.sampled.BooleanControl$Type,"array([ 6.30092926, -4.4967137 ])"
3864,javax.sound.sampled.DataLine,"array([ 6.26910319, -5.65544164])"
3865,javax.sound.sampled.LineListener,"array([ 6.56716726, -5.19495968])"
3866,javax.sound.sampled.CompoundControl,"array([ 5.76529994, -4.84195244])"
3867,javax.sound.sampled.CompoundControl$Type,"array([ 6.19054647, -4.60749605])"
3868,javax.sound.sampled.DataLine$Info,"array([ 5.26089692, -3.93185817])"
3869,javax.sound.sampled.EnumControl,"array([ 5.70223963, -4.3722253 ])"
3870,javax.sound.sampled.EnumControl$Type,"array([ 5.6902233 , -4.79081252])"
3871,javax.sound.sampled.FloatControl,"array([ 5.352342  , -4.23483416])"
3872,javax.sound.sampled.FloatControl$Type,"array([ 6.34510555, -4.66328241])"
3873,javax.sound.sampled.LineEvent,"array([ 6.3008108 , -4.29420646])"
3874,javax.sound.sampled.LineEvent$Type,"array([ 6.47094176, -4.09756281])"
3875,javax.sound.sampled.LineUnavailableException,"array([ 6.42452371, -3.53597492])"
3876,javax.sound.sampled.Port,"array([ 6.47965301, -5.74617633])"
3877,javax.sound.sampled.Port$Info,"array([ 6.12557727, -3.81074573])"
3878,javax.sound.sampled.ReverbType,"array([ 3.95681855, -3.55854461])"
3879,javax.sound.sampled.UnsupportedAudioFileException,"array([ 6.28197712, -3.87717382])"
3880,javax.sound.sampled.spi.AudioFileReader,"array([ 5.14194143, -4.12835431])"
3881,javax.sound.sampled.spi.AudioFileWriter,"array([ 5.27327884, -4.32553696])"
3882,javax.sound.sampled.spi.FormatConversionProvider,"array([ 5.46318258, -4.44887854])"
3883,javax.sound.sampled.spi.MixerProvider,"array([ 5.80698964, -4.55631027])"
3884,javax.sql.CommonDataSource,"array([ 7.06083664, -4.71971646])"
3885,javax.sql.ConnectionEvent,"array([ 6.77940357, -3.99298617])"
3886,javax.sql.PooledConnection,"array([ 7.25704208, -4.74341153])"
3887,javax.sql.ConnectionEventListener,"array([ 7.82978277, -4.62726885])"
3888,javax.sql.ConnectionPoolDataSource,"array([ 6.80717886, -4.46133934])"
3889,javax.sql.DataSource,"array([ 5.92036383, -4.13711398])"
3890,javax.sql.StatementEventListener,"array([ 7.66720523, -4.67894509])"
3891,javax.sql.RowSet,"array([ 5.09862023, -3.02621341])"
3892,javax.sql.RowSetListener,"array([ 5.16244794, -3.81981516])"
3893,javax.sql.RowSetEvent,"array([ 5.11478531, -3.78701085])"
3894,javax.sql.RowSetInternal,"array([ 5.09298214, -5.21216359])"
3895,javax.sql.RowSetMetaData,"array([ 5.19178975, -3.52509023])"
3896,javax.sql.RowSetReader,"array([ 4.81766748, -5.80362541])"
3897,javax.sql.RowSetWriter,"array([ 4.97865159, -5.88303979])"
3898,javax.sql.StatementEvent,"array([ 6.50754548, -3.96231981])"
3899,javax.sql.XAConnection,"array([ 7.57838034, -5.14823789])"
3900,javax.transaction.xa.XAResource,"array([ 8.90331291, -6.58388828])"
3901,javax.sql.XADataSource,"array([ 7.00978884, -4.34854148])"
3902,javax.sql.rowset.BaseRowSet,"array([ 5.15358193, -2.98583847])"
3903,javax.sql.rowset.CachedRowSet,"array([ 5.0741004 , -2.99690824])"
3904,javax.sql.rowset.Joinable,"array([ 5.29483895, -4.69930507])"
3905,javax.sql.rowset.spi.SyncProvider,"array([ 5.03410933, -4.08644483])"
3906,javax.sql.rowset.RowSetWarning,"array([ 5.39978484, -3.29980982])"
